	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	nident	sname
16	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_229	tr|G3V2D8|G3V2D8_HUMAN	100.0	5	0	0	1	5	1821	1825	83.0	17.3	5	tr|G3V2D8|G3V2D8_HUMAN Zinc finger FYVE domain-containing protein 26 OS=Homo sapiens OX=9606 GN=ZFYVE26 PE=1 SV=1
22	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2401	tr|A0A0C4DG40|A0A0C4DG40_HUMAN	100.0	5	0	0	1	5	5399	5403	95.0	16.9	5	tr|A0A0C4DG40|A0A0C4DG40_HUMAN Nesprin-1 OS=Homo sapiens OX=9606 GN=SYNE1 PE=1 SV=1
23	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2401	tr|E9PEL9|E9PEL9_HUMAN	100.0	5	0	0	1	5	270	274	98.0	16.9	5	tr|E9PEL9|E9PEL9_HUMAN Nesprin-1 OS=Homo sapiens OX=9606 GN=SYNE1 PE=1 SV=2
24	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2440	tr|E5RH04|E5RH04_HUMAN	100.0	5	0	0	1	5	234	238	92.0	16.9	5	tr|E5RH04|E5RH04_HUMAN Protein odd-skipped-related 2 OS=Homo sapiens OX=9606 GN=OSR2 PE=1 SV=1
25	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2444	tr|A2A2F0|A2A2F0_HUMAN	100.0	5	0	0	1	5	287	291	80.0	17.3	5	tr|A2A2F0|A2A2F0_HUMAN Ral GTPase-activating protein subunit beta (Fragment) OS=Homo sapiens OX=9606 GN=RALGAPB PE=1 SV=1
38	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2450	tr|A0A1B0GVU7|A0A1B0GVU7_HUMAN	100.0	5	0	0	1	5	225	229	40.0	18.1	5	tr|A0A1B0GVU7|A0A1B0GVU7_HUMAN Talin-2 OS=Homo sapiens OX=9606 GN=TLN2 PE=1 SV=1
39	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2450	tr|H0YMT1|H0YMT1_HUMAN	100.0	5	0	0	1	5	114	118	40.0	18.1	5	tr|H0YMT1|H0YMT1_HUMAN Talin-2 (Fragment) OS=Homo sapiens OX=9606 GN=TLN2 PE=1 SV=1
42	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2478	tr|D6REY2|D6REY2_HUMAN	100.0	5	0	0	1	5	240	244	86.0	17.3	5	tr|D6REY2|D6REY2_HUMAN Colorectal mutant cancer protein OS=Homo sapiens OX=9606 GN=MCC PE=1 SV=1
43	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2478	tr|A0A096LNU0|A0A096LNU0_HUMAN	100.0	5	0	0	1	5	303	307	86.0	17.3	5	tr|A0A096LNU0|A0A096LNU0_HUMAN Colorectal mutant cancer protein OS=Homo sapiens OX=9606 GN=MCC PE=1 SV=1
44	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2501	tr|Q5T2J8|Q5T2J8_HUMAN	100.0	5	0	0	1	5	662	666	88.0	16.9	5	tr|Q5T2J8|Q5T2J8_HUMAN RING finger protein 17 (Fragment) OS=Homo sapiens OX=9606 GN=RNF17 PE=1 SV=2
45	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2668	tr|C4B7M2|C4B7M2_HUMAN	100.0	5	0	0	1	5	930	934	99.0	16.9	5	tr|C4B7M2|C4B7M2_HUMAN Spatacsin OS=Homo sapiens OX=9606 GN=SPG11 PE=1 SV=1
46	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2669	tr|C4B7M2|C4B7M2_HUMAN	100.0	5	0	0	1	5	931	935	49.0	18.1	5	tr|C4B7M2|C4B7M2_HUMAN Spatacsin OS=Homo sapiens OX=9606 GN=SPG11 PE=1 SV=1
49	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2690	tr|G5E9L0|G5E9L0_HUMAN	100.0	5	0	0	1	5	46	50	63.0	17.7	5	tr|G5E9L0|G5E9L0_HUMAN ADP-ribosylation factor GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=2
50	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2690	tr|A0A0D9SF70|A0A0D9SF70_HUMAN	100.0	5	0	0	1	5	46	50	64.0	17.7	5	tr|A0A0D9SF70|A0A0D9SF70_HUMAN ADP-ribosylation factor GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1
51	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2690	tr|E9PIY6|E9PIY6_HUMAN	100.0	5	0	0	1	5	46	50	64.0	17.7	5	tr|E9PIY6|E9PIY6_HUMAN ADP-ribosylation factor GTPase-activating protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1
52	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2690	tr|E9PQP3|E9PQP3_HUMAN	100.0	5	0	0	1	5	46	50	65.0	17.7	5	tr|E9PQP3|E9PQP3_HUMAN ADP-ribosylation factor GTPase-activating protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1
53	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2690	tr|E9PN48|E9PN48_HUMAN	100.0	5	0	0	1	5	46	50	65.0	17.7	5	tr|E9PN48|E9PN48_HUMAN ADP-ribosylation factor GTPase-activating protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=1
54	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2690	tr|E9PK28|E9PK28_HUMAN	100.0	5	0	0	1	5	46	50	98.0	16.9	5	tr|E9PK28|E9PK28_HUMAN ADP-ribosylation factor GTPase-activating protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=ARFGAP2 PE=1 SV=8
55	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_266	tr|A0A3B3ISV0|A0A3B3ISV0_HUMAN	100.0	5	0	0	1	5	47	51	80.0	17.3	5	tr|A0A3B3ISV0|A0A3B3ISV0_HUMAN Serine protease-like protein 51 OS=Homo sapiens OX=9606 GN=PRSS51 PE=4 SV=1
56	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_266	tr|A0A2R8YGP0|A0A2R8YGP0_HUMAN	100.0	5	0	0	1	5	47	51	87.0	17.3	5	tr|A0A2R8YGP0|A0A2R8YGP0_HUMAN Serine protease-like protein 51 OS=Homo sapiens OX=9606 GN=PRSS51 PE=4 SV=1
58	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_269	tr|D6RCD0|D6RCD0_HUMAN	100.0	5	0	0	1	5	173	177	62.0	17.7	5	tr|D6RCD0|D6RCD0_HUMAN Estradiol 17-beta-dehydrogenase 11 OS=Homo sapiens OX=9606 GN=HSD17B11 PE=1 SV=2
59	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2712	tr|A0A2R8Y4J4|A0A2R8Y4J4_HUMAN	100.0	5	0	0	1	5	237	241	95.0	16.9	5	tr|A0A2R8Y4J4|A0A2R8Y4J4_HUMAN Required for meiotic nuclear division protein 1 homolog OS=Homo sapiens OX=9606 GN=RMND1 PE=1 SV=1
60	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2764	tr|Q7Z3Z5|Q7Z3Z5_HUMAN	100.0	5	0	0	1	5	1357	1361	92.0	16.9	5	tr|Q7Z3Z5|Q7Z3Z5_HUMAN Mediator of RNA polymerase II transcription subunit 12 OS=Homo sapiens OX=9606 GN=MED12 PE=1 SV=1
61	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2765	tr|M0R366|M0R366_HUMAN	100.0	5	0	0	1	5	395	399	99.0	16.9	5	tr|M0R366|M0R366_HUMAN Fibronectin type III and SPRY domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FSD1 PE=1 SV=1
64	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2836	tr|A0A3B3IUB1|A0A3B3IUB1_HUMAN	100.0	5	0	0	1	5	692	696	63.0	17.7	5	tr|A0A3B3IUB1|A0A3B3IUB1_HUMAN eIF-2B GDP-GTP exchange factor subunit epsilon OS=Homo sapiens OX=9606 GN=EIF2B5 PE=1 SV=1
65	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2836	tr|E9PF10|E9PF10_HUMAN	100.0	5	0	0	1	5	246	250	63.0	17.7	5	tr|E9PF10|E9PF10_HUMAN Nuclear pore complex protein Nup155 OS=Homo sapiens OX=9606 GN=NUP155 PE=1 SV=1
66	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2866	tr|A0A087WZQ1|A0A087WZQ1_HUMAN	100.0	5	0	0	1	5	1091	1095	90.0	16.9	5	tr|A0A087WZQ1|A0A087WZQ1_HUMAN Potassium voltage-gated channel subfamily H member 7 OS=Homo sapiens OX=9606 GN=KCNH7 PE=1 SV=1
67	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2892	tr|H3BRD5|H3BRD5_HUMAN	100.0	5	0	0	1	5	430	434	72.0	17.3	5	tr|H3BRD5|H3BRD5_HUMAN Unconventional myosin-IXa OS=Homo sapiens OX=9606 GN=MYO9A PE=1 SV=1
68	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2892	tr|H3BMM1|H3BMM1_HUMAN	100.0	5	0	0	1	5	25	29	72.0	17.3	5	tr|H3BMM1|H3BMM1_HUMAN Unconventional myosin-IXa OS=Homo sapiens OX=9606 GN=MYO9A PE=1 SV=1
72	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2929	tr|A0A075B7D3|A0A075B7D3_HUMAN	100.0	5	0	0	1	5	69	73	92.0	16.9	5	tr|A0A075B7D3|A0A075B7D3_HUMAN Protein HEATR9 OS=Homo sapiens OX=9606 GN=HEATR9 PE=4 SV=1
89	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2979	tr|A0A087WYN9|A0A087WYN9_HUMAN	100.0	5	0	0	1	5	780	784	88.0	16.9	5	tr|A0A087WYN9|A0A087WYN9_HUMAN ATP-dependent RNA helicase DHX29 OS=Homo sapiens OX=9606 GN=DHX29 PE=1 SV=1
90	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2979	tr|A0A087WX23|A0A087WX23_HUMAN	100.0	5	0	0	1	5	541	545	88.0	16.9	5	tr|A0A087WX23|A0A087WX23_HUMAN Retrotransposon-derived protein PEG10 OS=Homo sapiens OX=9606 GN=PEG10 PE=1 SV=1
91	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2979	tr|A0A087WUL4|A0A087WUL4_HUMAN	100.0	5	0	0	1	5	499	503	91.0	16.9	5	tr|A0A087WUL4|A0A087WUL4_HUMAN Retrotransposon-derived protein PEG10 OS=Homo sapiens OX=9606 GN=PEG10 PE=1 SV=1
92	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2979	tr|A0A087WXK2|A0A087WXK2_HUMAN	100.0	5	0	0	1	5	465	469	91.0	16.9	5	tr|A0A087WXK2|A0A087WXK2_HUMAN Retrotransposon-derived protein PEG10 OS=Homo sapiens OX=9606 GN=PEG10 PE=1 SV=1
93	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2981	tr|H0YME5|H0YME5_HUMAN	100.0	5	0	0	1	5	1219	1223	35.0	18.5	5	tr|H0YME5|H0YME5_HUMAN Non-specific serine/threonine protein kinase (Fragment) OS=Homo sapiens OX=9606 GN=EIF2AK4 PE=1 SV=1
94	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3003	tr|H0Y638|H0Y638_HUMAN	100.0	5	0	0	1	5	513	517	98.0	16.9	5	tr|H0Y638|H0Y638_HUMAN Ras GTPase-activating protein nGAP (Fragment) OS=Homo sapiens OX=9606 GN=RASAL2 PE=1 SV=1
95	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3017	tr|A8MUL8|A8MUL8_HUMAN	100.0	5	0	0	1	5	28	32	100.0	16.9	5	tr|A8MUL8|A8MUL8_HUMAN tRNA pseudouridine synthase Pus10 OS=Homo sapiens OX=9606 GN=PUS10 PE=1 SV=2
114	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3202	tr|B1AKC3|B1AKC3_HUMAN	100.0	5	0	0	1	5	311	315	95.0	16.9	5	tr|B1AKC3|B1AKC3_HUMAN E3 ubiquitin-protein ligase parkin OS=Homo sapiens OX=9606 GN=PRKN PE=1 SV=1
115	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3202	tr|A0A669KBE3|A0A669KBE3_HUMAN	100.0	5	0	0	1	5	310	314	95.0	16.9	5	tr|A0A669KBE3|A0A669KBE3_HUMAN E3 ubiquitin-protein ligase parkin (Fragment) OS=Homo sapiens OX=9606 GN=PRKN PE=1 SV=1
116	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3228	tr|Q24JQ5|Q24JQ5_HUMAN	100.0	5	0	0	1	5	200	204	74.0	17.3	5	tr|Q24JQ5|Q24JQ5_HUMAN ISLR2 protein OS=Homo sapiens OX=9606 GN=ISLR2 PE=1 SV=1
117	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3228	tr|H0YAG1|H0YAG1_HUMAN	100.0	5	0	0	1	5	206	210	81.0	17.3	5	tr|H0YAG1|H0YAG1_HUMAN WD repeat-containing protein 17 (Fragment) OS=Homo sapiens OX=9606 GN=WDR17 PE=1 SV=1
118	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3228	tr|E7ESC9|E7ESC9_HUMAN	100.0	5	0	0	1	5	946	950	97.0	16.9	5	tr|E7ESC9|E7ESC9_HUMAN WD repeat-containing protein 17 OS=Homo sapiens OX=9606 GN=WDR17 PE=1 SV=2
119	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3229	tr|Q24JQ5|Q24JQ5_HUMAN	100.0	5	0	0	1	5	201	205	54.0	17.7	5	tr|Q24JQ5|Q24JQ5_HUMAN ISLR2 protein OS=Homo sapiens OX=9606 GN=ISLR2 PE=1 SV=1
120	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3229	tr|E7ESC9|E7ESC9_HUMAN	100.0	5	0	0	1	5	947	951	92.0	16.9	5	tr|E7ESC9|E7ESC9_HUMAN WD repeat-containing protein 17 OS=Homo sapiens OX=9606 GN=WDR17 PE=1 SV=2
121	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3229	tr|H0YAG1|H0YAG1_HUMAN	100.0	5	0	0	1	5	207	211	99.0	16.9	5	tr|H0YAG1|H0YAG1_HUMAN WD repeat-containing protein 17 (Fragment) OS=Homo sapiens OX=9606 GN=WDR17 PE=1 SV=1
122	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3230	tr|E7ESC9|E7ESC9_HUMAN	100.0	5	0	0	1	5	948	952	92.0	16.9	5	tr|E7ESC9|E7ESC9_HUMAN WD repeat-containing protein 17 OS=Homo sapiens OX=9606 GN=WDR17 PE=1 SV=2
123	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3230	tr|H0YAG1|H0YAG1_HUMAN	100.0	5	0	0	1	5	208	212	99.0	16.9	5	tr|H0YAG1|H0YAG1_HUMAN WD repeat-containing protein 17 (Fragment) OS=Homo sapiens OX=9606 GN=WDR17 PE=1 SV=1
124	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3289	tr|J3KN66|J3KN66_HUMAN	100.0	5	0	0	1	5	573	577	99.0	16.9	5	tr|J3KN66|J3KN66_HUMAN Torsin-1A-interacting protein 1 OS=Homo sapiens OX=9606 GN=TOR1AIP1 PE=1 SV=1
125	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3289	tr|A0A0A0MSK5|A0A0A0MSK5_HUMAN	100.0	5	0	0	1	5	436	440	100.0	16.9	5	tr|A0A0A0MSK5|A0A0A0MSK5_HUMAN Torsin-1A-interacting protein 1 OS=Homo sapiens OX=9606 GN=TOR1AIP1 PE=1 SV=1
126	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3290	tr|F2Z3N3|F2Z3N3_HUMAN	100.0	5	0	0	1	5	628	632	99.0	16.9	5	tr|F2Z3N3|F2Z3N3_HUMAN Olfactomedin-like protein 2B OS=Homo sapiens OX=9606 GN=OLFML2B PE=1 SV=1
127	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3292	tr|D6R9F0|D6R9F0_HUMAN	100.0	5	0	0	1	5	115	119	90.0	16.9	5	tr|D6R9F0|D6R9F0_HUMAN Leucine-rich repeat-containing G-protein-coupled receptor 6 OS=Homo sapiens OX=9606 GN=LGR6 PE=4 SV=1
128	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3298	tr|H7BYX7|H7BYX7_HUMAN	100.0	5	0	0	1	5	558	562	67.0	17.3	5	tr|H7BYX7|H7BYX7_HUMAN Lysophospholipase (Fragment) OS=Homo sapiens OX=9606 GN=PLB1 PE=1 SV=1
129	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3298	tr|H7C012|H7C012_HUMAN	100.0	5	0	0	1	5	280	284	77.0	17.3	5	tr|H7C012|H7C012_HUMAN Lysophospholipase (Fragment) OS=Homo sapiens OX=9606 GN=PLB1 PE=1 SV=1
133	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_322	tr|F8WBA3|F8WBA3_HUMAN	100.0	5	0	0	1	5	160	164	15.0	19.6	5	tr|F8WBA3|F8WBA3_HUMAN Serine/threonine-protein kinase OS=Homo sapiens OX=9606 GN=PRKD1 PE=1 SV=1
135	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_322	tr|A0A494C0Q1|A0A494C0Q1_HUMAN	100.0	5	0	0	1	5	72	76	64.0	17.7	5	tr|A0A494C0Q1|A0A494C0Q1_HUMAN Serine/threonine-protein kinase D1 (Fragment) OS=Homo sapiens OX=9606 GN=PRKD1 PE=1 SV=1
136	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_322	tr|A0A494C1T7|A0A494C1T7_HUMAN	100.0	5	0	0	1	5	244	248	78.0	17.3	5	tr|A0A494C1T7|A0A494C1T7_HUMAN Protein kinase C delta type (Fragment) OS=Homo sapiens OX=9606 GN=PRKCD PE=1 SV=1
138	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_323	tr|H0Y8R2|H0Y8R2_HUMAN	100.0	5	0	0	1	5	577	581	55.0	17.7	5	tr|H0Y8R2|H0Y8R2_HUMAN Netrin receptor UNC5 OS=Homo sapiens OX=9606 GN=UNC5A PE=1 SV=2
139	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_323	tr|F8WBA3|F8WBA3_HUMAN	100.0	5	0	0	1	5	161	165	60.0	17.7	5	tr|F8WBA3|F8WBA3_HUMAN Serine/threonine-protein kinase OS=Homo sapiens OX=9606 GN=PRKD1 PE=1 SV=1
140	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_323	tr|A0A494C0Q1|A0A494C0Q1_HUMAN	100.0	5	0	0	1	5	73	77	97.0	16.9	5	tr|A0A494C0Q1|A0A494C0Q1_HUMAN Serine/threonine-protein kinase D1 (Fragment) OS=Homo sapiens OX=9606 GN=PRKD1 PE=1 SV=1
141	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_324	tr|C9JMA7|C9JMA7_HUMAN	100.0	5	0	0	1	5	81	85	64.0	17.7	5	tr|C9JMA7|C9JMA7_HUMAN Zinc finger protein 439 (Fragment) OS=Homo sapiens OX=9606 GN=ZNF439 PE=1 SV=1
142	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3378	tr|V9GXZ4|V9GXZ4_HUMAN	100.0	5	0	0	1	5	391	395	91.0	16.9	5	tr|V9GXZ4|V9GXZ4_HUMAN FPGT-TNNI3K readthrough OS=Homo sapiens OX=9606 GN=FPGT-TNNI3K PE=4 SV=1
143	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3379	tr|E7EVJ5|E7EVJ5_HUMAN	100.0	5	0	0	1	5	829	833	75.0	17.3	5	tr|E7EVJ5|E7EVJ5_HUMAN Cytoplasmic FMR1-interacting protein OS=Homo sapiens OX=9606 GN=CYFIP2 PE=1 SV=1
144	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3379	tr|H7C229|H7C229_HUMAN	100.0	5	0	0	1	5	719	723	75.0	17.3	5	tr|H7C229|H7C229_HUMAN Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens OX=9606 GN=CYFIP2 PE=1 SV=2
145	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3379	tr|E7EW33|E7EW33_HUMAN	100.0	5	0	0	1	5	659	663	75.0	17.3	5	tr|E7EW33|E7EW33_HUMAN Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens OX=9606 GN=CYFIP2 PE=1 SV=1
146	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3379	tr|A0A0G2JR96|A0A0G2JR96_HUMAN	100.0	5	0	0	1	5	856	860	75.0	17.3	5	tr|A0A0G2JR96|A0A0G2JR96_HUMAN Cytoplasmic FMR1-interacting protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=CYFIP1 PE=1 SV=4
147	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3379	tr|A0A0G2JQT1|A0A0G2JQT1_HUMAN	100.0	5	0	0	1	5	856	860	75.0	17.3	5	tr|A0A0G2JQT1|A0A0G2JQT1_HUMAN Cytoplasmic FMR1-interacting protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=CYFIP1 PE=1 SV=4
148	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3386	tr|F8W775|F8W775_HUMAN	100.0	5	0	0	1	5	114	118	86.0	17.3	5	tr|F8W775|F8W775_HUMAN Neuronal cell adhesion molecule OS=Homo sapiens OX=9606 GN=NRCAM PE=1 SV=2
149	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3386	tr|C9JYY6|C9JYY6_HUMAN	100.0	5	0	0	1	5	119	123	86.0	17.3	5	tr|C9JYY6|C9JYY6_HUMAN Neuronal cell adhesion molecule OS=Homo sapiens OX=9606 GN=NRCAM PE=1 SV=3
150	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3386	tr|A0A1W2PQ11|A0A1W2PQ11_HUMAN	100.0	5	0	0	1	5	107	111	86.0	17.3	5	tr|A0A1W2PQ11|A0A1W2PQ11_HUMAN Contactin-2 OS=Homo sapiens OX=9606 GN=CNTN2 PE=1 SV=1
151	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3386	tr|A0A087X2B3|A0A087X2B3_HUMAN	100.0	5	0	0	1	5	113	117	87.0	17.3	5	tr|A0A087X2B3|A0A087X2B3_HUMAN Neuronal cell adhesion molecule OS=Homo sapiens OX=9606 GN=NRCAM PE=1 SV=1
152	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3386	tr|A0A1W2PQ86|A0A1W2PQ86_HUMAN	100.0	5	0	0	1	5	107	111	87.0	17.3	5	tr|A0A1W2PQ86|A0A1W2PQ86_HUMAN Contactin-2 OS=Homo sapiens OX=9606 GN=CNTN2 PE=1 SV=1
